"","","cl_lum","cl_den"
"861",1.941,1,2
"862",1.506,2,3
"863",2.484,3,2
"864",1.355,3,3
"865",1.893,3,2
"866",1.912,2,2
"867",1.078,2,3
"868",2.288,2,2
"869",2.347,4,5
"870",2.251,4,4
"871",1.734,4,3
"872",2.132,1,3
"873",1.477,1,3
"874",2.395,3,3
"875",1.529,1,2
"876",1.469,3,3
"877",2.505,2,3
"878",2.414,4,3
"879",2.461,5,2
"880",1.739,5,3
"881",2.039,4,2
"882",2.326,4,3
"883",1.896,4,2
"884",1.81,3,5
"885",2.345,1,2
"886",1.697,2,4
"887",2.35,2,4
"888",1.15,2,5
"889",1.171,3,4
"890",1.108,2,4
"891",1.517,2,3
"892",2.205,1,2
"893",1.577,2,4
"894",1.909,2,2
"895",2.974,2,3
"896",2.081,4,3
"897",1.113,3,4
"898",2.174,4,1
"899",1.738,3,3
"900",2.078,4,3
"901",2.778,5,2
"902",2.999,4,1
"903",1.35,4,4
"904",1.718,2,3
"905",2.54,2,2
"906",1.774,2,4
"907",1.493,1,3
"908",2.416,2,3
"909",1.732,2,4
"910",1.976,5,4
"911",1.12,4,4
"912",1.751,2,4
"913",1.931,2,3
"914",1.66,1,1
"915",1.33,4,3
"916",2.651,3,1
"917",2.284,3,2
"918",2.678,3,2
"919",2.367,1,2
"920",2.095,3,1
"921",2.194,3,3
"922",1.499,2,2
"923",1.157,3,4
"924",1.272,2,4
"925",2.517,2,3
"926",2.309,5,3
"927",1.359,2,4
"928",2.159,4,3
"929",1.872,4,4
"930",2.566,5,1
"931",2.232,4,4
"932",0.9712,4,4
"933",2.251,5,3
"934",0.6996,3,5
"935",1.368,3,5
"936",2.509,3,2
"937",2.109,1,3
"938",1.92,2,2
"939",2.428,5,2
"940",2.493,5,2
"941",2.249,5,4
"942",2.388,4,1
"943",2.394,5,2
"944",2.423,5,2
"945",2.413,3,5
"946",2.406,1,3
"947",1.713,2,3
"948",2.456,4,1
"949",2.375,1,3
"950",1.773,4,4
"951",1.6,1,5
"952",2.313,4,3
"953",1.882,3,2
"954",2.429,4,2
"955",2.509,3,3
"956",2.104,1,4
"957",1.641,3,4
"958",2.139,1,4
"959",2.168,1,3
"960",0.8165,3,4
"961",1.342,1,4
"962",1.566,2,4
"963",1.24,2,3
"964",2.209,1,2
"965",1.438,2,2
"966",2.39,2,2
"967",2.294,1,2
"968",2.261,3,1
"969",2.489,2,2
"970",2.058,3,2
"971",1.282,2,3
"972",1.353,4,3
"973",1.733,3,3
"974",1.074,1,4
"975",1.915,3,3
"976",2.37,4,1
"977",1.844,2,3
"978",2.206,3,5
"979",0.8996,2,5
"980",1.283,2,4
"981",2.453,3,4
"982",2.384,3,2
"983",2.98,2,1
"984",1.601,2,2
"985",1.256,3,5
"986",1.852,3,3
"987",2.456,1,2
"988",2.347,2,2
"989",2.282,2,3
"990",2.125,1,3
"991",1.843,1,3
"992",2.095,3,3
"993",1.648,3,3
"994",1.646,3,2
"995",2.598,3,2
"996",2.142,2,2
"997",1.714,3,4
"998",1.064,4,3
"999",1.673,4,3
"1000",1.205,4,4
"1001",2.169,5,2
"1002",2.04,2,3
"1003",1.754,2,2
"1004",2.085,2,3
"1005",2.347,2,2
"1006",1.264,2,4
"1007",2.488,2,2
"1008",1.339,3,2
"1009",2.173,1,3
"1010",1.611,2,4
"1011",1.549,2,3
"1012",2.501,2,2
"1013",1.719,4,3
"1014",1.82,5,1
"1015",0.765,1,2
"1016",1.349,2,3
"1017",1.403,2,4
"1018",2.27,2,2
"1019",1.521,1,3
"1020",1.625,3,3
"1021",2.353,3,2
"1022",2.252,3,3
"1023",1.33,3,4
"1024",1.337,3,4
"1025",1.447,5,2
"1026",1.865,5,2
"1027",2.243,5,3
"1028",1.386,5,3
"1029",1.225,1,5
"1030",1.642,3,2
"1031",1.237,4,4
"1032",1.116,2,4
"1033",1.829,1,2
"1034",1.313,5,4
"1035",1.958,5,3
"1036",1.413,5,4
"1037",2.298,4,3
"1038",1.285,2,3
"1039",2.412,5,1
"1040",2.505,2,1
"1041",2.384,2,3
"1042",1.444,3,4
"1043",2.367,5,3
"1044",1.763,3,3
"1045",2.48,4,3
"1046",2.495,5,2
"1047",1.841,4,4
"1048",0.851,2,5
"1049",2.347,5,4
"1050",2.379,5,3
"1051",2.413,5,4
"1052",2.448,5,3
"1053",1.546,4,4
"1054",2.51,5,2
"1055",1.901,1,2
"1056",1.886,3,3
"1057",2.406,4,3
"1058",1.429,1,4
"1059",1.631,4,4
"1060",2.276,5,4
"1061",1.66,5,3
"1062",2.475,5,2
"1063",2.079,3,4
"1064",2.422,5,3
"1065",2.585,2,1
"1066",0.3289,3,5
"1067",0.7077,3,3
"1068",1.422,2,4
"1069",2.487,4,1
"1070",2.432,4,2
"1071",1.517,5,4
"1072",2.048,3,3
"1073",2.548,3,2
"1074",1.349,2,4
"1075",0.9588,1,5
"1076",1.291,3,5
"1077",2.506,2,3
"1078",2.372,3,3
"1079",2.413,3,2
"1080",2.091,3,4
"1081",2.212,3,3
"1082",1.397,3,3
"1083",2.773,3,3
"1084",1.311,4,4
"1085",1.911,4,4
"1086",1.638,3,3
"1087",1.22,1,3
"1088",2.458,4,2
"1089",2.447,3,3
"1090",2.467,4,2
"1091",1.537,4,5
"1092",2.488,3,3
"1093",1.427,1,4
"1094",1.435,3,4
"1095",2.464,3,3
"1096",1.633,2,4
"1097",2.274,1,2
"1098",1.425,3,4
"1099",2.228,4,3
"1100",1.846,2,4
"1101",0.6958,2,3
"1102",1.122,3,4
"1103",2.494,3,4
"1104",2.118,5,4
"1105",2.203,5,3
"1106",2.248,3,2
"1107",1.757,3,2
"1108",2.292,2,2
"1109",2.55,2,1
"1110",1.736,2,4
"1111",2.246,1,2
"1112",2.326,5,2
"1113",1.855,5,3
"1114",1.331,2,5
"1115",2.474,4,1
"1116",2.304,3,1
"1117",2.692,4,2
"1118",2.304,4,3
"1119",1.361,2,5
"1120",1.336,2,3
"1121",1.491,3,4
"1122",2.38,5,4
"1123",1.385,4,3
"1124",1.983,5,4
"1125",2.55,5,1
"1126",1.602,4,3
"1127",2.362,5,3
"1128",2.247,5,4
"1129",2.549,5,2
"1130",2.193,3,4
"1131",1.298,3,4
"1132",2.247,1,3
"1133",1.899,3,3
"1134",0.934,1,4
"1135",2.43,3,2
"1136",1.489,3,4
"1137",2.17,1,3
"1138",1.822,1,2
"1139",2.343,3,4
"1140",1.51,2,4
"1141",2.388,2,3
"1142",1.765,2,3
"1143",1.438,1,3
"1144",1.589,4,4
"1145",2.469,1,2
"1146",2.465,2,2
"1147",2.521,2,4
"1148",1.806,3,3
"1149",1.391,4,5
"1150",1.415,1,4
"1151",2.498,3,1
"1152",1.925,1,2
"1153",2.309,1,2
"1154",2.139,2,1
"1155",0.8749,3,5
"1156",1.401,3,3
"1157",1.394,3,4
"1158",1.61,3,3
"1159",1.34,3,3
